h,V,C,x,y,Y
2.5YR,1,2,0.4258,0.3344,1.210
2.5YR,1,4,0.5311,0.3371,1.210
2.5YR,1,6,0.6048,0.3270,1.210
2.5YR,1,8,0.6721,0.3058,1.210
2.5YR,2,2,0.3852,0.3365,3.126
2.5YR,2,4,0.4598,0.3508,3.126
2.5YR,2,6,0.5280,0.3581,3.126
2.5YR,2,8,0.5995,0.3590,3.126
2.5YR,3,2,0.3757,0.3391,6.555
2.5YR,3,4,0.4360,0.3563,6.555
2.5YR,3,6,0.4954,0.3692,6.555
2.5YR,3,8,0.5475,0.3771,6.555
2.5YR,3,10,0.5941,0.3818,6.555
2.5YR,4,2,0.3624,0.3367,12.000
2.5YR,4,4,0.4141,0.3539,12.000
2.5YR,4,6,0.4612,0.3674,12.000
2.5YR,4,8,0.5071,0.3777,12.000
2.5YR,4,10,0.5475,0.3856,12.000
2.5YR,4,12,0.5809,0.3910,12.000
2.5YR,5,2,0.3506,0.3337,19.770
2.5YR,5,4,0.3925,0.3494,19.770
2.5YR,5,6,0.4365,0.3640,19.770
2.5YR,5,8,0.4795,0.3758,19.770
2.5YR,5,10,0.5175,0.3844,19.770
2.5YR,5,12,0.5482,0.3909,19.770
2.5YR,5,14,0.5731,0.3953,19.770
2.5YR,5,16,0.5933,0.3989,19.770
2.5YR,6,2,0.3453,0.3321,30.050
2.5YR,6,4,0.3806,0.3467,30.050
2.5YR,6,6,0.4180,0.3600,30.050
2.5YR,6,8,0.4533,0.3708,30.050
2.5YR,6,10,0.4891,0.3806,30.050
2.5YR,6,12,0.5215,0.3887,30.050
2.5YR,6,14,0.5488,0.3947,30.050
2.5YR,6,16,0.5698,0.3990,30.050
2.5YR,6,18,0.5879,0.4021,30.050
2.5YR,7,2,0.3392,0.3298,43.060
2.5YR,7,4,0.3715,0.3439,43.060
2.5YR,7,6,0.4053,0.3570,43.060
2.5YR,7,8,0.4371,0.3679,43.060
2.5YR,7,10,0.4671,0.3768,43.060
2.5YR,7,12,0.5001,0.3861,43.060
2.5YR,7,14,0.5297,0.3938,43.060
2.5YR,7,16,0.5522,0.3989,43.060
2.5YR,7,18,0.5695,0.4024,43.060
2.5YR,7,20,0.5824,0.4046,43.060
2.5YR,8,2,0.3334,0.3276,59.100
2.5YR,8,4,0.3667,0.3429,59.100
2.5YR,8,6,0.3960,0.3547,59.100
2.5YR,8,8,0.4275,0.3662,59.100
2.5YR,8,10,0.4552,0.3761,59.100
2.5YR,8,12,0.4852,0.3847,59.100
2.5YR,9,2,0.3320,0.3273,78.660
2.5YR,9,4,0.3641,0.3422,78.660
2.5YR,9,6,0.3927,0.3550,78.660
5YR,1,2,0.4377,0.3580,1.210
5YR,1,4,0.5660,0.3795,1.210
5YR,2,2,0.3880,0.3476,3.126
5YR,2,4,0.4674,0.3738,3.126
5YR,2,6,0.5426,0.3925,3.126
5YR,3,2,0.3771,0.3476,6.555
5YR,3,4,0.4376,0.3715,6.555
5YR,3,6,0.4966,0.3908,6.555
5YR,3,8,0.5456,0.4040,6.555
5YR,4,2,0.3651,0.3442,12.000
5YR,4,4,0.4187,0.3679,12.000
5YR,4,6,0.4651,0.3859,12.000
5YR,4,8,0.5070,0.3994,12.000
5YR,4,10,0.5432,0.4097,12.000
5YR,4,12,0.5729,0.4169,12.000
5YR,5,2,0.3530,0.3395,19.770
5YR,5,4,0.3968,0.3614,19.770
5YR,5,6,0.4420,0.3808,19.770
5YR,5,8,0.4830,0.3960,19.770
5YR,5,10,0.5161,0.4064,19.770
5YR,5,12,0.5422,0.4141,19.770
5YR,5,14,0.5642,0.4201,19.770
5YR,6,2,0.3474,0.3373,30.050
5YR,6,4,0.3840,0.3564,30.050
5YR,6,6,0.4229,0.3750,30.050
5YR,6,8,0.4592,0.3900,30.050
5YR,6,10,0.4921,0.4022,30.050
5YR,6,12,0.5199,0.4119,30.050
5YR,6,14,0.5423,0.4188,30.050
5YR,6,16,0.5597,0.4239,30.050
5YR,6,18,0.5715,0.4270,30.050
5YR,7,2,0.3421,0.3349,43.060
5YR,7,4,0.3750,0.3530,43.060
5YR,7,6,0.4091,0.3701,43.060
5YR,7,8,0.4402,0.3842,43.060
5YR,7,10,0.4711,0.3972,43.060
5YR,7,12,0.5007,0.4081,43.060
5YR,7,14,0.5252,0.4168,43.060
5YR,7,16,0.5437,0.4228,43.060
5YR,7,18,0.5564,0.4267,43.060
5YR,7,20,0.5657,0.4298,43.060
5YR,8,2,0.3373,0.3330,59.100
5YR,8,4,0.3690,0.3510,59.100
5YR,8,6,0.3988,0.3663,59.100
5YR,8,8,0.4310,0.3820,59.100
5YR,8,10,0.4576,0.3938,59.100
5YR,8,12,0.4849,0.4050,59.100
5YR,8,14,0.5088,0.4145,59.100
5YR,9,2,0.3353,0.3325,78.660
5YR,9,4,0.3668,0.3509,78.660
5YR,9,6,0.3948,0.3659,78.660
7.5YR,1,2,0.4430,0.3775,1.210
7.5YR,2,2,0.3889,0.3590,3.126
7.5YR,2,4,0.4690,0.3964,3.126
7.5YR,2,6,0.5475,0.4271,3.126
7.5YR,3,2,0.3771,0.3549,6.555
7.5YR,3,4,0.4378,0.3865,6.555
7.5YR,3,6,0.4930,0.4116,6.555
7.5YR,3,8,0.5390,0.4306,6.555
7.5YR,4,2,0.3662,0.3504,12.000
7.5YR,4,4,0.4208,0.3809,12.000
7.5YR,4,6,0.4655,0.4029,12.000
7.5YR,4,8,0.5038,0.4204,12.000
7.5YR,4,10,0.5356,0.4342,12.000
7.5YR,5,2,0.3540,0.3445,19.770
7.5YR,5,4,0.3991,0.3714,19.770
7.5YR,5,6,0.4440,0.3954,19.770
7.5YR,5,8,0.4820,0.4141,19.770
7.5YR,5,10,0.5108,0.4276,19.770
7.5YR,5,12,0.5335,0.4378,19.770
7.5YR,5,14,0.5506,0.4450,19.770
7.5YR,6,2,0.3487,0.3421,30.050
7.5YR,6,4,0.3860,0.3652,30.050
7.5YR,6,6,0.4242,0.3876,30.050
7.5YR,6,8,0.4596,0.4064,30.050
7.5YR,6,10,0.4904,0.4220,30.050
7.5YR,6,12,0.5145,0.4331,30.050
7.5YR,6,14,0.5320,0.4412,30.050
7.5YR,6,16,0.5468,0.4478,30.050
7.5YR,7,2,0.3437,0.3397,43.060
7.5YR,7,4,0.3772,0.3613,43.060
7.5YR,7,6,0.4107,0.3820,43.060
7.5YR,7,8,0.4415,0.3996,43.060
7.5YR,7,10,0.4704,0.4151,43.060
7.5YR,7,12,0.4970,0.4282,43.060
7.5YR,7,14,0.5174,0.4381,43.060
7.5YR,7,16,0.5319,0.4449,43.060
7.5YR,7,18,0.5417,0.4492,43.060
7.5YR,8,2,0.3395,0.3379,59.100
7.5YR,8,4,0.3699,0.3586,59.100
7.5YR,8,6,0.4000,0.3770,59.100
7.5YR,8,8,0.4306,0.3952,59.100
7.5YR,8,10,0.4568,0.4100,59.100
7.5YR,8,12,0.4816,0.4232,59.100
7.5YR,8,14,0.5025,0.4338,59.100
7.5YR,8,16,0.5195,0.4424,59.100
7.5YR,8,18,0.5316,0.4480,59.100
7.5YR,8,20,0.5391,0.4518,59.100
7.5YR,9,2,0.3380,0.3377,78.660
7.5YR,9,4,0.3679,0.3585,78.660
7.5YR,9,6,0.3950,0.3763,78.660
7.5YR,9,8,0.4220,0.3930,78.660
10YR,1,2,0.4446,0.3982,1.210
10YR,2,2,0.3872,0.3688,3.126
10YR,2,4,0.4676,0.4168,3.126
10YR,3,2,0.3747,0.3630,6.555
10YR,3,4,0.4341,0.4018,6.555
10YR,3,6,0.4872,0.4326,6.555
10YR,3,8,0.5305,0.4559,6.555
10YR,4,2,0.3660,0.3590,12.000
10YR,4,4,0.4189,0.3948,12.000
10YR,4,6,0.4618,0.4213,12.000
10YR,4,8,0.4965,0.4414,12.000
10YR,4,10,0.5250,0.4573,12.000
10YR,5,2,0.3546,0.3514,19.770
10YR,5,4,0.3995,0.3840,19.770
10YR,5,6,0.4428,0.4128,19.770
10YR,5,8,0.4770,0.4338,19.770
10YR,5,10,0.5025,0.4489,19.770
10YR,5,12,0.5211,0.4600,19.770
10YR,6,2,0.3491,0.3483,30.050
10YR,6,4,0.3861,0.3767,30.050
10YR,6,6,0.4240,0.4030,30.050
10YR,6,8,0.4570,0.4249,30.050
10YR,6,10,0.4843,0.4416,30.050
10YR,6,12,0.5050,0.4536,30.050
10YR,6,14,0.5200,0.4623,30.050
10YR,7,2,0.3443,0.3454,43.060
10YR,7,4,0.3778,0.3719,43.060
10YR,7,6,0.4102,0.3960,43.060
10YR,7,8,0.4399,0.4164,43.060
10YR,7,10,0.4667,0.4335,43.060
10YR,7,12,0.4900,0.4480,43.060
10YR,7,14,0.5074,0.4581,43.060
10YR,7,16,0.5188,0.4650,43.060
10YR,7,18,0.5276,0.4700,43.060
10YR,8,2,0.3407,0.3434,59.100
10YR,8,4,0.3701,0.3674,59.100
10YR,8,6,0.3994,0.3896,59.100
10YR,8,8,0.4280,0.4102,59.100
10YR,8,10,0.4527,0.4268,59.100
10YR,8,12,0.4753,0.4414,59.100
10YR,8,14,0.4940,0.4530,59.100
10YR,8,16,0.5079,0.4613,59.100
10YR,8,18,0.5179,0.4670,59.100
10YR,8,20,0.5245,0.4709,59.100
10YR,9,2,0.3392,0.3430,78.660
10YR,9,4,0.3677,0.3668,78.660
10YR,9,6,0.3941,0.3877,78.660
10YR,9,8,0.4199,0.4069,78.660
